pt,family,spp,spp_id,dist,counts,elev
250,Cisticolidae,Oreolais ruwenzori,4,2,2,2395
251,Cisticolidae,Cisticola chubbi,3,4,2,2397
251,Cisticolidae,Oreolais ruwenzori,4,4,1,2397
252,Cisticolidae,Oreolais ruwenzori,4,3,1,2397
253,Cisticolidae,Apalis personata,1,3,2,2189
253,Cisticolidae,Apalis porphyrolaema,2,2,2,2189
253,Cisticolidae,Oreolais ruwenzori,4,3,2,2189
254,Cisticolidae,Oreolais ruwenzori,4,1,2,2209
254,Cisticolidae,Prinia bairdii,5,2,2,2209
255,Cisticolidae,Cisticola chubbi,3,2,2,2243
256,Cisticolidae,Cisticola chubbi,3,2,2,2269
258,Cisticolidae,Cisticola chubbi,3,3,2,2285
258,Cisticolidae,Oreolais ruwenzori,4,1,1,2285
260,Cisticolidae,Apalis personata,1,1,2,2302
260,Cisticolidae,Oreolais ruwenzori,4,4,1,2302
261,Cisticolidae,Apalis porphyrolaema,2,1,1,2297
261,Cisticolidae,Cisticola chubbi,3,3,2,2297
261,Cisticolidae,Oreolais ruwenzori,4,3,1,2297
263,Cisticolidae,Apalis porphyrolaema,2,2,2,2294
263,Cisticolidae,Cisticola chubbi,3,4,2,2294
263,Cisticolidae,Oreolais ruwenzori,4,3,1,2294
264,Cisticolidae,Oreolais ruwenzori,4,2,1,2298
265,Cisticolidae,Apalis porphyrolaema,2,2,2,2309
265,Cisticolidae,Cisticola chubbi,3,1,2,2309
266,Cisticolidae,Cisticola chubbi,3,3,2,2322
266,Cisticolidae,Oreolais ruwenzori,4,2,2,2322
269,Cisticolidae,Cisticola chubbi,3,2,2,2264
270,Cisticolidae,Prinia bairdii,5,3,1,2274
271,Cisticolidae,Cisticola chubbi,3,3,2,2300
271,Cisticolidae,Oreolais ruwenzori,4,3,1,2300
272,Cisticolidae,Apalis porphyrolaema,2,2,1,2310
272,Cisticolidae,Prinia bairdii,5,3,1,2310
273,Cisticolidae,Apalis porphyrolaema,2,2,1,2317
273,Cisticolidae,Cisticola chubbi,3,2,2,2317
273,Cisticolidae,Cisticola chubbi,3,3,2,2317
274,Cisticolidae,Apalis porphyrolaema,2,2,1,2318
274,Cisticolidae,Cisticola chubbi,3,3,2,2318
274,Cisticolidae,Oreolais ruwenzori,4,1,1,2318
274,Cisticolidae,Oreolais ruwenzori,4,3,1,2318
275,Cisticolidae,Apalis personata,1,3,2,2310
275,Cisticolidae,Apalis porphyrolaema,2,3,2,2310
276,Cisticolidae,Apalis porphyrolaema,2,3,2,2297
277,Cisticolidae,Apalis porphyrolaema,2,2,1,2275
277,Cisticolidae,Cisticola chubbi,3,3,2,2275
278,Cisticolidae,Cisticola chubbi,3,3,2,2334
278,Cisticolidae,Oreolais ruwenzori,4,1,1,2334
281,Cisticolidae,Apalis porphyrolaema,2,2,1,2359
281,Cisticolidae,Cisticola chubbi,3,1,2,2359
282,Cisticolidae,Apalis porphyrolaema,2,2,1,2351
283,Cisticolidae,Cisticola chubbi,3,2,2,2354
285,Cisticolidae,Cisticola chubbi,3,2,2,2287
285,Cisticolidae,Oreolais ruwenzori,4,2,2,2287
286,Cisticolidae,Cisticola chubbi,3,4,2,2287
287,Cisticolidae,Cisticola chubbi,3,3,2,2135
288,Cisticolidae,Apalis personata,1,3,2,2236
288,Cisticolidae,Apalis porphyrolaema,2,2,1,2236
288,Cisticolidae,Cisticola chubbi,3,4,2,2236
288,Cisticolidae,Oreolais ruwenzori,4,2,1,2236
288,Cisticolidae,Prinia bairdii,5,4,2,2236
289,Cisticolidae,Apalis porphyrolaema,2,3,1,2250
289,Cisticolidae,Cisticola chubbi,3,3,2,2250
289,Cisticolidae,Prinia bairdii,5,2,2,2250
289,Cisticolidae,Prinia bairdii,5,4,1,2250
290,Cisticolidae,Apalis porphyrolaema,2,2,2,2301
290,Cisticolidae,Oreolais ruwenzori,4,3,1,2301
291,Cisticolidae,Cisticola chubbi,3,3,2,2309
292,Cisticolidae,Apalis porphyrolaema,2,3,2,2359
293,Cisticolidae,Cisticola chubbi,3,3,2,2410
294,Cisticolidae,Prinia bairdii,5,3,1,2147
295,Cisticolidae,Cisticola chubbi,3,3,2,2445
296,Cisticolidae,Cisticola chubbi,3,3,2,2487
297,Cisticolidae,Apalis porphyrolaema,2,2,2,2521
297,Cisticolidae,Cisticola chubbi,3,3,2,2521
